flower_id,flower_name,english_name,available_colors,meanings,suitable_occasions,style_tags,bouquet_role,price_level,compatible_flowers,description
F001,Hoa hồng,Rose,đỏ;hồng;trắng;vàng;cam;tím,tình yêu;đam mê;lãng mạn;sắc đẹp,Valentine;kỷ niệm ngày cưới;tỏ tình;sinh nhật;20/10,lãng mạn;cổ điển;sang trọng,hoa chủ đạo,trung bình,Hoa baby;Hoa cẩm tú cầu;Hoa cát tường;Hoa xác pháo,"Loài hoa biểu tượng của tình yêu, có hàng trăm giống với màu sắc và hương thơm đa dạng, gần như không thể thiếu trong các bó hoa lãng mạn."
F002,Hoa cúc,Chrysanthemum,vàng;trắng;tím;cam;đỏ,sự trường thọ;lòng hiếu thảo;niềm vui;sự chân thành,lễ Vu Lan;viếng tang;mừng thọ;Tết Trung thu,trang trọng;truyền thống;mộc mạc,hoa chủ đạo,thấp,Hoa cúc họa mi;Hoa lay ơn;Hoa baby,"Loài hoa quen thuộc trong văn hóa Á Đông, tượng trưng cho sự trường tồn và lòng biết ơn, thường dùng trong dịp lễ và cúng viếng."
F003,Hoa lan hồ điệp,Phalaenopsis Orchid,trắng;hồng;tím;vàng;đỏ đốm,sự sang trọng;tình yêu hoàn mỹ;phú quý,khai trương;Tết Nguyên Đán;chúc mừng thăng chức;tân gia,sang trọng;hiện đại;quý phái,hoa chủ đạo,cao,Hoa lan vũ nữ;Hoa ngọc lan;Hoa hồng môn,"Loài lan cánh bướm quý phái, cánh hoa mềm mại bền lâu, thường được cắm thành chậu hoặc giỏ trong các dịp lễ trọng đại."
F004,Hoa ly,Lily,trắng;hồng;vàng;cam;đỏ,sự thuần khiết;kiêu hãnh;quyền quý,khai trương;sinh nhật;chúc mừng;tân gia,sang trọng;rực rỡ;hương thơm nồng,hoa chủ đạo,cao,Hoa hồng;Hoa cát tường;Hoa lay ơn,"Hoa có hương thơm nồng nàn, cánh to xòe rộng, mang vẻ đẹp kiêu sa và thường xuất hiện trong các bó hoa chúc mừng lớn."
F005,Hoa hướng dương,Sunflower,vàng;cam,sự lạc quan;niềm tin;hướng về ánh sáng;trung thành,sinh nhật;động viên tinh thần;tốt nghiệp,tươi sáng;năng động;mộc mạc,hoa chủ đạo,trung bình,Hoa cúc;Hoa đồng tiền;Hoa baby,"Loài hoa luôn hướng về phía mặt trời, biểu tượng cho sự lạc quan và nguồn năng lượng tích cực."
F006,Hoa tulip,Tulip,đỏ;hồng;vàng;tím;trắng;cam,tình yêu hoàn hảo;sự khai mở;danh vọng,Valentine;8/3;tỏ tình;sinh nhật,hiện đại;tối giản;tinh tế,hoa chủ đạo,cao,Hoa baby;Hoa cát tường;Hoa thủy tiên,"Hoa nhập khẩu từ Hà Lan với dáng cúp thanh lịch, được ưa chuộng trong các bó hoa phong cách tối giản hiện đại."
F007,Hoa cẩm chướng,Carnation,đỏ;hồng;trắng;vàng;tím,tình mẫu tử;lòng biết ơn;sự ngưỡng mộ,ngày của Mẹ;20/11;sinh nhật;lễ tốt nghiệp,ngọt ngào;truyền thống;ấm áp,hoa phụ trợ,thấp,Hoa hồng;Hoa baby;Hoa cúc,"Loài hoa cánh xếp gợn sóng bền màu, thường được chọn để tặng mẹ và thầy cô vì mang ý nghĩa biết ơn sâu sắc."
F008,Hoa baby,Baby's Breath,trắng;hồng nhạt,tình yêu trong sáng;sự thuần khiết;niềm vui nhỏ bé,cưới hỏi;tỏ tình;trang trí phối nền,nhẹ nhàng;lãng mạn;vintage,hoa nền - lá,thấp,Hoa hồng;Hoa tulip;Hoa cát tường;Hoa hướng dương,"Chùm hoa li ti mềm mại thường dùng để độn nền, tạo hiệu ứng bồng bềnh lãng mạn cho bó hoa chính."
F009,Hoa đồng tiền,Gerbera,đỏ;cam;vàng;hồng;trắng,sự vui vẻ;may mắn;tài lộc,khai trương;chúc mừng;sinh nhật,tươi sáng;trẻ trung;năng động,hoa chủ đạo,thấp,Hoa hướng dương;Hoa cúc;Hoa baby,"Cánh hoa tròn xoè rực rỡ, tượng trưng cho may mắn và niềm vui, rất phổ biến trong hoa khai trương."
F010,Hoa thược dược,Dahlia,đỏ;hồng;cam;tím;trắng,sự sang trọng;lòng chung thủy;đổi mới,Tết Nguyên Đán;tân gia;chúc mừng,rực rỡ;cổ điển;sang trọng,hoa chủ đạo,trung bình,Hoa mẫu đơn;Hoa hồng;Hoa cúc,"Cánh hoa xếp lớp cầu kỳ, thường nở rộ vào dịp Tết, tượng trưng cho sự sung túc và khởi đầu mới."
